account;booking_date;valuta_date;iban;description;amount;currency
DE123456789;01.07.2023;01.07.2023;DE…;Betterplace;-25;EUR
DE123456789;01.07.2023;01.07.2023;DE…;Transfer to 2nd account;-200;EUR
DE123456789;01.07.2023;01.07.2023;DE…;Rent;-1200;EUR
DE123456789;01.07.2023;01.07.2023;DE…;SpaceX;1800;EUR
DE123456789;01.07.2023;01.07.2023;DE…;Wallmart;1300;EUR
DE123456789;01.07.2023;01.07.2023;DE…;EWE TEL;-40;EUR
DE123456789;01.07.2023;01.07.2023;DE…;Vattenfall;-120;EUR
DE123456789;01.07.2023;01.07.2023;DE…;AOK;-45,99;EUR
DE123456789;01.07.2023;01.07.2023;DE…;Allianz;-80;EUR
DE123456789;01.07.2023;01.07.2023;DE…;Netflix;-17,99;EUR
DE123456789;01.07.2023;01.07.2023;DE…;Telekom;-8,99;EUR
DE123456789;01.07.2023;01.07.2023;DE…;Savings;-150;EUR
DE123456789;03.07.2023;03.07.2023;DE…;Lidl;-76,56;EUR
DE123456789;07.07.2023;07.07.2023;DE…;ARO Restaurant;-38,99;EUR
DE123456789;08.07.2023;08.07.2023;DE…;Amazon Order 123 (dog bed);-98,99;EUR
DE123456789;08.07.2023;08.07.2023;DE…;Aral;-50;EUR
DE123456789;08.07.2023;08.07.2023;DE…;Aral;-12;EUR
DE123456789;09.07.2023;09.07.2023;DE…;Netto;-110,98;EUR
DE123456789;09.07.2023;09.07.2023;DE…;Rewe;-23,1;EUR
DE123456789;12.07.2023;12.07.2023;DE…;Fressnapf;-48,99;EUR
DE123456789;12.07.2023;12.07.2023;DE…;Hirsch Apotheke;-4,95;EUR
DE123456789;12.07.2023;12.07.2023;DE…;Barts Barber Shop;-20;EUR
DE123456789;13.07.2023;13.07.2023;DE…;Cinestar;-35;EUR
DE123456789;13.07.2023;13.07.2023;DE…;Fleur;-15;EUR
DE123456789;13.07.2023;13.07.2023;DE…;Thalia;-20;EUR
DE123456789;14.07.2023;14.07.2023;DE…;Steam Order 123;-15,99;EUR
DE123456789;18.07.2023;18.07.2023;DE…;Rewe;-6,98;EUR
DE123456789;18.07.2023;18.07.2023;DE…;Lidl;-78,21;EUR
DE123456789;18.07.2023;18.07.2023;DE…;Combi;-96,78;EUR
DE123456789;18.07.2023;18.07.2023;DE…;Amazon Order 456 (dog toy);-12,85;EUR
DE123456789;21.07.2023;21.07.2023;DE…;Burger King;-12,45;EUR
DE123456789;22.07.2023;22.07.2023;DE…;Famila;-42,92;EUR
DE123456789;22.07.2023;22.07.2023;DE…;Transfer from 2nd account;50;EUR
DE123456789;22.07.2023;22.07.2023;DE…;Aleco;-56,56;EUR
DE123456789;23.07.2023;23.07.2023;DE…;McDonalds;-14,99;EUR
DE123456789;23.07.2023;23.07.2023;DE…;Amazon Order 789 (blanket);-48,53;EUR
DE123456789;26.07.2023;26.07.2023;DE…;Lindas Birthday;-10;EUR
DE123456789;26.07.2023;26.07.2023;DE…;Avia;-48,65;EUR
DE123456789;28.07.2023;28.07.2023;DE…;Aleco;-45;EUR
DE123456789;28.07.2023;28.07.2023;DE…;Famila;-17,1;EUR
DE123456789;29.07.2023;29.07.2023;DE…;Steam Order 987;-48,99;EUR
DE123456789;31.07.2023;31.07.2023;;Monthly interest;0;EUR
